,text,author
1798,"My legs were a bit shaky, so he wrapped an arm around my waist to steady me, ""Come on."" There was no arguing with the Englishman, and he led me from the room as Italy tended to Germany. The hallways were filled with recovering soldiers, but for the most part the base was quiet. I wasn""t used to it, and my mind soon wandered to the only thing it seemed to lately; France. What was he doing right now? Where was he? What happened after England took me away? How could I stop him? Was there a way? ""No, there has to be,' I thought. I wouldn""t let myself believe anything else. England brought me to the small room acting as his office. He helped me into a torn up couch, but I brushed him off as soon as I could. I hated being treated like a child, like a colony. He sat next to me, bend forward with his elbows on his knees. England didn""t look at me, but stared straight ahead, ""Seychelles, Ukraine and Turkey are dead."" ""Dead?"" I was confused, but felt cold spread through me, ""How?"" It was so hard to kill a nation to begin with. Germany was found after his country was destroyed, critically injured but still alive. I had never seen one of us die before. Even ones who lost their land, like Prussia and Rome, were still alive, ""What do you mean?"" ""I mean France killed them,"" England deadpanned. The cold turned to ice, ""Wh-what?"" ""When Ukraine tried to escape his custody, he killed her and sent the body to Russia,"" He said in monotone, ""And France killed Turkey during battle. Both with a gunshot right here."" England pointed between his eyes. ""Mon dieu..."" My hands flew to my mouth. I couldn""t believe it. France, a nation-killer? I didn""t know Ukraine or Turkey well, but I did remember them from World Academy W. Ukraine had seemed so nice... how could France do such a thing? ""Wh... why?"" ""Because he""s not France anymore,"" England said, still looking straight ahead and still speaking in that terrible monotone, ""None of us are us when we""re Insane, Seychelles. Ukraine and Turkey are not the only ones either. Brazil, India, Pakistan, and the Netherlands are dead. We got word just after you and Italy left that Latvia was killed and Estonia captured. It""s only a manner of time before he""s killed or driven Insane."" ""Non..."" I didn""t want to believe it. Nations, dead? Truly, completely dead? ""It hasn""t happened before,"" I wanted to cry. If the nations were dead, what about their people? Were they gone too? What happens to the people when a nation is killed like that? ""Seychelles, you need to understand. I was driven to Insanity during the American Revolution, but even then I couldn""t shoot America. I thought it would be like that with France; I""ve known him for over a millennia. ""I couldn""t kill America, so he won""t kill me"" I thought..."" England chuckled mirthlessly, ""But if it wasn""t for you jumping in front of me like a bloody moron, I might be dead right now."" He tilted his head in my direction, ""He acts like France, talks like France, and you may think France is still in there somewhere... but he""s not.",748687
1549,"But... he looks so peaceful and... and... cute while sleeping... Uwaaa! I think I am blushing! I calmed myself down and patted my cheeks. I can""t fail after all the effort Mayaka-san and Fukube-san did for me... even asking permission for us to stay late in school just for this. Thank you so much, Mayaka-san, Fukube-san! At least an hour passed, all I did was staring at Oreki-san""s peaceful face... and-eh?! H-he""s... starting to wake up! Uh... he walked straight to the door and... and tried to leave! ""Chitanda?"" H-he called me! ""O-Oreki-san! Are you... leaving already?"" He gave me a confused look... this isn""t going well! Uwa! ""Yeah, I am."" He""s looking so confused! What should I do? ""Since Fukube-san already went home and Mayaka-san needs to run an errand, I decided to stay... so that at least... you had someone with you in here while you""re asleep."" I said, trying so hard not to be so shy and all. I did step one... step two... show hints! ""Y-you didn""t have to stay... It""s late already, and I don""t want to take the responsibility of you going home late."" N-no! It wasn""t your fault! It""s all part of the plan... ""I-it""s not your fault... It was with my own will to wait for you wake up."" ""Well, you didn""t have to."" ""Uh... um..."" ""Do you have something to say? That""s why you waited for me?"" I looked down... He just... read my mind... Oreki-san is really amazing! ""Y-yes. I-I do have something to tell you..."" ""M-me too."" I heard him say. I bolted my head up, seeing a spark of hope in this conversation. ""Oreki-san-"" ""Chitanda-"" Eh? What should I do? We both talked at the same time! Wait... S-step three right? ""You first."" Uwaaa! Not again! I am determined to finish step three! If it""s the only was for me convey my feelings, then I will let him talk! ""I-it""s okay Oreki-san, you go-"" Eh? Somehow, I haven""t noticed that Oreki-san walked towards me and leaned in to kiss me. He parted then walked a few steps back. I touched my lips to feel the brush of his lips against mine... ""O-Oreki-san... w-why did you kiss me?"" ""You told me to. Remember? You said you wanted to kiss me again. So there."" He paused. ""And, I also want to confirm if I really do like you."" My eyes widened. This was the first time I heard him say those words. O-Oreki-san... may like me back. I smiled at him, and kissed him too. I didn""t know what got into me... I just wanted to kiss him back. Just like his kiss, it was a bit quick. I looked at him straight through his eyes. ""Oreki-san, I think I really do like you."" Finally, my feelings reached you, Oreki-san Another omake~ Chapter 4 based on Chi-chan""s POV guys, so that we""ll fully understand Chapter 4~ Anyway, the next chapter is the last one, and I am happy to tell you guys that the first chapter of the sequel is DONE~! It""s going to be posted next week or so... or if I get too excited, I""ll probs post in anytime I want or earlier :D It""s been fun reading your reviews, may it be suggestions or criticisms~ Here""s the last chapter, guys :D I hope you""ll like it... My sister was a bit shocked because I got home really late.",2750536
3011,"Wouldn""t want somebody thinking all of it was just ""coincidental"" and planned..."" Akai trailed off, pleased with himself that Rei was relaxing a bit. ""Fine. But you took things a bit too far...I had reporters hounding me from morning ever since. And Yuuya undertook the job of becoming my personal secretary..."" Rei crossed his arms, his gaze turning towards Yuuya before turning it heatedly back on Akai. ""Ok, ok...my bad. Sheesh. Calm down, maybe I got carried away ok? Sorry, I get the message. I""ll notify you when chances will tell me to start carrying out the plans..."" Akai left him, turning to shy-schoolboy mode and taking his place alongside Yuuya as if he too was ""curious"". Rei furrowed his eyebrows at Akai, each day his opinion of him growing worse and worse. Afternoon came, and Rei found himself walking with Yuuya and Akai along main street Shibuya, his gaze following towards the billboard that was being taken down. ""Now who do you think who could have done that?"" Rei openly said, his tone mocking. Yuuya sensed the note in it, his suspicion that Rei knew who was behind it. ""Hey, Rei!"" The three guys turned around to see someone running up towards them. ""Oh, hi Ran!"" Yuuya greeted her, along with her two companions as well. Ran placed her hands on her hips looking crossly at the sight behind them. She then turned her attention at the brunette, who also had a line of irritation evidently plastered across his face. ""Rei...do you know someone who""s stupid enough to do this?"" She asked, mildly noticing the slight hitching of his breath when she bought the topic up. ""Not in the least. This happened the first time..."" Rei swept his gaze away from the girl, turning to Akai but not directly at him. Akai glared at him, telling him to zip it. Rei gave it a mental shrug. ""So I see. I could know that no Shibuya gal is capable of doing this..."" Ran crossed her arms, as if thinking. ""Certainly, not the girls of Ikebukuro, who as far as I""m concerned are not that desperate."" ""And I""d be very happy if people would just leave it at that."" Rei cut in. ""The last thing I need is that stalker jumping up and down because he succeeded in annoying me out."" Rei shuffled his hands and walked away slowly, his thoughts elsewhere. He grimaced, starting to regret of entertaining the whole idea out in the first place. Oh my, this is turning out to be a longer fiction than I expected. Do read and review! Frankly, I""m starting to hate watching Super GALS! Especially when I saw the 11th street episode. It was an all out Yuuya-bashing episode from the start. A bit of consolation I got was knowing that Rei was expressing his concern for the poor blonde even if he sorely hates delving into other people""s lives... which he does! But at the end of the episode, I was generously rewarded with model shots of Yuuya! Yatta! I really like it when Yuuya is in his good spirits (especially that shot where he tilted his head in a languidly sexy position...) but he also looks good when he""s sad, serious and most especially angry.",583064
69,"""I..."" I chewed on my lip, feeling nervous myself. The words were there, right on the tip of my tongue, but saying them was another matter entirely. So I whispered them, low and breathy, ""... I do."" ""What was that?"" ""I""d... like to meet you, if I got the chance,"" I was still quiet, voice wavering myself, but with enough strength that his sudden silence meant he must""ve heard me this time, ""But you""ll be disappointed, trust me."" I laughed hollowly. ""That""s not possible."" ""You say that now,"" I sighed. Everyone always said things like that until they knew, ""Everyone does."" ""I don""t care about everyone else,"" Zen""s voice was hard, defiant, and left no room for dissent, ""I want to , that""s all."" I didn""t say anything for the longest time. This phone call was turning into the call of awkward pauses. Then, after a long time, I smiled, ""Thank you, Hyun. Early the next day, I popped into the chat on reflex after a shower. The only one there was Jumin, which was perfect for me. [Aya]: Good morning, Jumin. [Jumin Han]: Good morning, Aya. Did you eat breakfast? Same question, every meal time, from one of the RFA without fail. It had to be a Korean thing. Or maybe the RFA was secretly obsessed with nutrition. [Aya]: Not yet; just got out of the shower. How""s your morning? [Jumin Han]: I have Assistant Kang researching cat products for that line, and coffee production for another product line the company is considering. Other than that, I find myself in a... Bit of a problem. I felt sorry for Jaehee. It was blatantly obvious how Jumin took advantage of her, whether he realized it or not. The woman must be a saint to put up with him. [Aya]: What""s the problem? He sent a picture, taken out of his window from the angle. There was this tiny little slip of a kitten, looking a little lost and pathetic in the well-manicured grass. [Jumin Han]: I found a kitten wandering the company lawn and took it home. It was too little too be safe, but Elizabeth the 3rd doesn""t seem to like him. Maybe Assistant Kang will take the kitten. Did this man seriously not see what a terrible idea was? Poor Jaehee already had to deal with Jumin""s cat at all hours and without notice. There was no way she""d take on a stray permanently unless he ordered it... Which I wouldn""t put above Jumin. Thinking quickly, I asked; [Aya]: What about Yoosung? He likes animals, right? Jaehee probably isn""t the best choice. [Jumin Han]: Hmm... Possible. I cannot keep him, Zen will not take him, and giving him to Assistant Kang would make difficult for her to watch my Elizabeth... I shall call him right away, thank you for the suggestion. [Aya]: No problem. [Jumin Han]: I must go. Goodbye, Aya. [Aya]: Wait Jumin! I wanted to ask, about your offer to drive me to visit Zen... Is that offer still open? [Jumin Han]: Of course. I never take back an offer once given. I only ask you talk to him about modeling for the cat line. I rolled my eyes. I could already picture Zen""s disgusted face. Or the sneezing. That mental picture made burst out laughing. [Aya]: Alright, alright.",748687
2722,"Eren sputtered, unable to move. Levi walked towards him briskly, as if ready to take aim and punch the daylights out of him. ""Pair up with Ackerman. You seem to be out of sorts lately. She""s your squad""s top soldier. You can learn a thing or two from her."" ""Y-yes, sir!"" Mikasa walked out of the line and made her way towards Eren. The soldiers prepared for the warm-up, as Eren got on his back while Mikasa held his knees and help spot him. The awkwardness was obvious between them, even the other soldiers were aware of it. ""Why would the corporal pair them up? Their awkward air is quite obvious..."" Armin muttered to himself. ""Come on Armin, let""s start the exercise."" Connie said, interrupting Armin""s thoughts. He nodded and went on. ""1... 2... 3... 4..."" Mikasa started her counting as Eren did his sit-ups. Her façade looked so blank, that Eren wondered if last night happened at all. ""Mikasa."" ""5... 6... 7... 8... 9..."" ""Mikasa."" ""10... 11... 12..."" ""Mikasa, listen to me just for one damn second!"" the brunet almost shouted, but not too loud for the corporal to hear. Mikasa on the other hand paused in her counting, her gaze stopping at Eren. ""What is it?"" she asked, mentally counting the sit-ups. ""You""re acting like nothing happened last night."" Eren said. ""Before I act like something happened, I need to know what your response is."" Mikasa rebutted, still keeping count. ""I like you too, goddammit! Can""t you even get that by the way I""m acting? I thought you were supposed to be the smart one between us!"" Eren replied brashly, as he sat up and stopped the exercise mid-way from Mikasa""s counting. His childhood friend, on the other hand, was so surprised that all the thoughts in her hand began to vanish, even the numbers that kept count on Eren""s sit-ups. Eren didn""t realize that he said that so loud for everyone in the training grounds to hear. Spontaneously, they all stopped from their exercise. Even the corporal was a bit surprised from what he just heard. Yet again, the brunet titan-shifter was caught up by his emotions. ""Way to go, Eren."" Armin muttered, a smile playing on his lips. Slowly, realization dawned upon Eren as he felt the stares of his classmates and the glare from his superior. He suddenly felt his face burn up. Ah shit. Good one, Eren. ""Who told you brats to stop? Everyone, get back to your exercises."" The corporal commanded, as the cadets continued their exercise, including Eren and Mikasa. We""ll have to talk later then. Eren thought as he continued with his sit-ups, not noticing that Mikasa wasn""t keeping count anymore. There wasn""t even any thoughts on her head now, just the shock from what Eren said. As the soldiers went inside the dining hall for breakfast, Squad Leader Hanji stood by the doorway of the hall""s entrance with her arms crossed, as if waiting for someone. Levi walked towards the door, eyeing the squad leader. He stopped on his tracks, exactly where she was standing. ""What?"" he asked. ""You totally did it on purpose."" Hanji replied. Levi rolled his eyes nonchalantly, as if Hanji was talking nonsense.",2750536
1129,"""Chlo, don""t do anything too rash..."" Adrien warned. He tried using her old nickname to soften her up. ""Oh, I""m perfectly calm, Adri-kins! Perfectly! Calm!"" she seethed,before turning her attention to the kitchen staff. ""Send the person responsible for these pastries up here right now!"" A moment passed. ""I want them in my room, yesterday!"" Adrien winced. ""It could just be a simple mistake, Chloe."" ""A mistake my father, the mayor, does not pay this peon for!"" ranted Chloe as Sabrina tried to comfort the distraught heiress. A few minutes later, a stoic young woman came into Chloe""s room, followed by the sous chef. Alya""s mother was out sick for the day. ""Is this the person responsible?"" Choe demanded. The sous-chef hesitated but nodded grimly. He knew he was signing the death warrant of a young career. The blonde attack with ferocious tenacity- something Adrien thought Chloe only had for shopping and Ladybug. ""You stupid, untalented, no-good sorry excuse for a pastry chef!"" She jabbed her finger at the young woman without preamble. ""I""m sorry?"" the young chef frowned. ""You are fired! FIRED! These pastries are disgusting! You made my Adri-kins and Eli-poo barf with this garbage!"" The chef shook her head. ""I don""t understand. I-I was told to come up here to get the tray. I never-"" She looked to her boss, but he looked away. ""What""s going-"" ""You are finished in the culinary industry. Just wait until I tell my father about this. It""s like trying to poison the princess of Paris."" Paris hadn""t had a princess since before the Sun King, Louis XIV, Adrien thought, dread filling his chest. The woman looked confused and teary-eyed, never a good sign with people like Hawk Moth waiting in the wings. ""B-but I didn""t..."" the woman looked ready to cry. ""Chloe, please, think rationally..."" cautioned Mari, a worried look on her face. ""Shut up! I don""t want to see your worthless face in here again! You are fired!"" The woman left the room in tears. ""Wait!"" Mari rushed after her, probably to comfort the woman. Mari was kind that way. ""Ugh, totally ridicule! Well she""s gone now. Get me better snacks!"" she said as she dismissed the remaining chef. ""That wasn""t very cool, Chloe."" Nino frowned. ""Yeah, i mean it was one mistake."" Eli chimed in. Chloe pouted. ""My father said that mistakes like that cannot be mistakes. Everything was too sweet or heavy. I am totally not wrong in this. Totally not wrong!"" The Bourgeois brat was soo wrong! Colette Dechant thought to herself as she rushed away in tears. The shining star of the Paris Culinary Academy, she""d been snatched up in a heartbeat by the Mayor of Paris after winning the esteemed Golden Ladle on the international cooking show World Wide Kitchen. Had the brat even let her speak she would have informed her that she hadn""t even touched the pastries set to the brat""s room. She couldn""t have, seeing as how she""d been getting the secret ingredient for tonight""s dinner- seaweed. Tonight had been her""s, to choose the entree for the hotel. She""d decided to do a Japanese inspired dish.",3439302
3369,"His face was hidden beneath so many scarfs and rags, all she could see was his dark brown eyes in the mirror. He began driving down the road, she leaned against the car door and looked out the window. Blue eyes sparkling in the light of the sun, today was a dim day indeed, beside the fact she was exhausted had had paperwork to complete before next week.. ""So what""s your name?"" ""Harleen."" She didn""t tell the stranger her last name because she didn""t know him and it would have been his joke of the day. ""That sounds a lot like Harley."" ""Yep... I know. I get that a lot. You wouldn""t believe what my last name is."" She tried to be friendly, but was obviously annoyed with the topic. She had been called Harley Quinn more times than she could count. It annoyed her on so many levels. ""What""s your last name?"" Hesitant to answer, she sighed and shook her head to pull herself out of a defensive mood. ""Quinzel."" She answered, she heard what sounded like the driver trying to contain laughter, which came out in forced snorts. ""Is something wrong?"" She strictly asked, feeling aggravated. ""Listen. Just stop here, if you""re going to make fun of me."" ""No. I didn""t mean it like that. It""s just, I find that so amazing. You don""t think that is fate, your name be based off of Harley Quinn, the Jester of Jokes?"" ""No... I hate it. People make fun of me for it."" ""Really? Well that isn""t nice, is it?"" She saw her apartment complex and pointed to it for him. ""Up there."" He stopped the car across from the dual doors, it was an old complex, obviously for people who could afford the bare minimum. She reached into her coat pulling out her wallet. ""How much do I owe you?"" ""You know what? On the house."" She smiled, he was just trying to be nice and she hadn""t been very kind to him. ""Well, that""s very nice of you. If you give me your card maybe you can drive me around more often."" ""Sure thing sweetums."" He reached into the dashboard and pulled out a card passing it to her, she didn""t look down at it until she had exited the vehicle and he had driven away with a screeching speed once the door was slammed shut. She looked down at the card and nearly fainted, how could she had been so stupid? It was him, that why his voice was familiar. In her hand she held a Joker playing card, on it was written a number different from the card that CheChen had taken of the previous card: 1-888-HAHA She felt a jolt of excitement, bringing the card up to her nose and smelling it. It smelled of a strong cologne, it was his cologne. She nearly fainted like a damsel in distress. She had never reacted so emotionally to something before, she had never felt so faint and in... No... She could never. Not with him. Logic quickly returned to her mind and she continued into the complex to go home. She was settled down in her small apartment, in which she definitely deserved better, she could have afforded better. She was a lutz for the old though and while she was an intern at Arkham this was where she lived.",6234395
3062,"Under my powers will Zidane Tribal be sent you your world; until the time that he completes his business their or until my powers as a conduit be insufficient to maintain his presence, as stated in the Contract of a Conduit."" Garnet looked over her younger sister. Eiko""s whole body glowed with the same shimmering light that her horn had given off just moments ago. Soon the light had encased both Eiko and Zidane, efficiently placing both in a deep, somewhat sleepless trance. Garnet stood up, backing away from the two, smiling. ""So it finally begins."" A/N: First off, I give a special thanks to the one person who always inspires me to write my stories (you know who you are). Second, is my beta, Kloudy Reignfall, who just happened to beta all 22 pages of my story in... oh, about one night. Of course, she also asked me not to do that again. Hehe, I really can""t blame her. Remember to Review and keep reading my stories! Plus, I promise to update my other stories in this coming year (inspiring choice of words, isn""t it?). Owari. p.s. my next story may be a Tezuka x Fuji pairing, from Prince of Tennis. Muahahaha... before and after they get together! I will try to follow the anime/manga story line, the best I can, but forgive me if I add anything to the already wonderful story! Summary: Set about 2 years after the ending. Zidane is now living in Alexandria castle, trying to move on with his life after having to say goodbye to Kuja at the Iifa tree. Lately, though, someone has been calling out to him, someone needing his help. ZidanexKuja Notes: This story won an award at Sakura Con (I forgot the year... ""05 maybe) in the fanfiction contest under the category for Best Action. Go figure, I was aiming for romance. xD The title of the story is also taken from a Prince of Tennis song, sung by the character Fuji Shusuke: Seiyu, Yuki Kaida (who is the awesome). Garnet stood up, backing away from the two, smiling. ""So it finally begins."" ""And just what is it that is beginning?"" ""Whose there?"" Frantically Garnet looked around her. The deep, mysterious voice had appeared out of nowhere, and Garnet could have sworn that besides her, Eiko and Zidane, they were the only ones in that section of the castle. ""Show yourself. Do not hide from me."" The mysterious voice laughed harshly at Garnet""s inquiry. ""The Queen dares order me around? How very amusing this all is."" Garnet scowled as the voice continued to laugh. Her anger showed though her words. ""I order you to show yourself! As a direct command from your Queen, you must obey me!"" Garnet hated to order people around like that, but sometimes she found herself with no other choice. At least the situation hadn""t resorted to violence - yet. Before Garnet had realized it, a mysterious cloaked figure had appeared before her. It began to speak to her again, but this time its voice didn""t echo in the hallways like before. ""Do you know how long it""s been since I""ve taken orders from somebody else? OH this is amusing! Say something else!""",583994
1115,"I Fall By Sybl Angelkat Willy finds a woman from the streets. She""s never trusted anyone, much like Willy. They overcome their terrible pasts with each other""s help-together... It was a rainy morning at the factory. Mist hung low to the ground outside, but this didn""t affect all that went on in the factory. The oompa loompas continued to keep the factory running. Candy bars were made in phenomenal numbers, and new projects were being worked on every day. The funny little orange-faced men took their work very seriously, and never was a mistake made. Meanwhile, Mr. Wonka was still fast asleep in his bed as the rain pattered against the windows. He was having a dream, and for once, it wasn""t about candy. He was in a beautiful meadow full of sunshine. He hadn""t seen the outside world in a very long time. Flowers bloomed everywhere, and butterflies would occasionally land on his coat. He realized that his big top hat was missing, leaving his straight dark brown hair to dance with the soft breeze that was blowing. Then, she was there. William ventured towards her. She was sitting in the grass, strumming a guitar. Her long dark hair fell gracefully down her back, and her blue eyes shone at him. ""Hello. Care for a song?"" she asked. William stretched out on the grass beside her. She began to strum a soft melody, and her voice was equally soft when she sang. William felt his heart begin to tremble. It occurred to him that in all his years of trying to make everyone else happy (mostly children), he had neglected his own needs. He needed some female company with him in the huge factory. Willy awoke with a warm blush on his cheeks, though it was quite cold outside. He rolled over on his back and examined his surroundings. The bed was enormous, and he felt small in the middle of it. Everything was in bright colors, but Willy wasn""t feeling as cheerful as his rainbow-hued room was. He was grateful for the dream, but sad that it was over. Willy stretched, then hauled himself out of bed. He looked out the window and shook his head at the moody clouds, then headed for the bathroom. The radio played a nice, bouncy tune while he was in the shower, and as he lathered up his glossy brown hair, he danced and hummed along. The warm water revived him a little, and he was feeling a little like himself again. The song ended and the DJ came on. ""It is rumored that Mr. Willy Wonka, the owner of the famous chocolate factory will give out five golden tickets for children to come and take a tour of the factory. One of them will win a lifetime supply of chocolate. This should be interesting, eh? No one""s ever seen anyone go in or out of that factory except the delivery trucks."" Willy felt irritated at this. It seemed like everyone was trying to hurry him up when he wanted to do things at his own pace. He finished toweling his hair and wandered over to the closet to get his clothes. No sooner had he gotten dressed, there was a distressed chaos downstairs. He grabbed his big hat and took off running. Outside, the oompa loompas were attempting to capture someone.",870118
3735,"Walking towards the gate of their castle, a figure riding a derby horse can be seen just a few meters away from their gate. Curious, she stopped by the gate and waited for the figure to stop. Much to her surprise, it was Prince Hugo. ""Hugo...?"" Sofia muttered as she clutched the book closer to her chest. ""Sofia? Man, it""s been a while since I last saw you."" the dark-haired prince said as he went down his horse and held it by its bridle and let it to the stables. ""What brings you here?"" Sofia asked as they both walked side by side. ""I heard about Amber""s engagement ball. And... well, my father asked me to bring a gift for her since I wasn""t able to attend the party the other night."" Hugo answered, no more no less. Sofia could only nod. The two walked in humble silence towards the stable. In contrast when they were kids, Hugo would usually brag about his derby and ice dancing skills when he""s with Sofia but as they grew older, they matured. Upon reaching the horse""s stables, Hugo went to his horse""s side and opened its bag to get a medium-sized box. With a small smile, he presented the gift in front of Sofia. ""Guess what my dad got for Amber."" ""Uh... jewelry?"" ""Even better. Ten, different variety of hand fans. All made with the finest silk... and some things."" the prince said with a huge grin on his face. The brunette princess couldn""t help but laugh at his gift. ""I""m pretty sure Amber will love it."" Sofia said. Another set of silence dawned upon them and only this time, the air felt slightly awkward. ""Hey Sof, since your sister is about to get married and all, have you ever thought about it yourself?"" he asked out of nowhere, surprising the princess. ""Well, at times I do."" she replied as she looked at the ground, clutching her book even more close to her. ""Who do you see... in that kind of future?"" Hugo asked once more, making Sofia blush. The moment she heard her question, she instantly thought of a person. ""James. Of course it""s him.' she thought sadly. ""None, as of the moment."" She lied. ""Then... would it be okay... if I stepped in your future?"" the raven-haired prince said. It didn""t fully register on Sofia""s mind as she stared at the prince blankly, not knowing how to respond. He was asking for marriage, in a way. Hugo, who looked out of his character and as red as a beet walked towards Sofia and pulled her for a hug. ""I... I kinda... l-like you."" he stuttered as he whispered in her ear. Sofia remained speechless. ""B-but... I didn""t know... you had... those kind of feelings... I""m-"" ""Sofia...? Hugo?"" a familiar voice overpowered Sofia""s meek one. Instantly, the two pulled away from each other, the dark-haired prince still as red as he was before. ""Nice seeing you, James. I""m just here to drop off your twin""s present."" Hugo said, showing James the box he was holding. On the other hand, James was staring at the other prince as if he was a deceitful enemy. ""There must be something wrong with your eyesight, then. The princess in your arms a few seconds ago happened to be Sofia, not my twin."" he said, not taking his eyes off Hugo.",2750536
